6396,-0.051147
8þESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x158c
load:0x403c8700,len:0xd24
load:0x403cb700,len:0x2f34
entry 0x403c8924
I (24) boot: ESP-IDF -128-NOTFOUND 2nd stage bootloader
I (25) boot: compile time Apr 20 2026 11:22:55
I (25) boot: Multicore bootloader
I (26) boot: chip revision: v0.2
I (28) boot: efuse block revision: v1.3
I (32) boot.esp32s3: Boot SPI Speed : 80MHz
I (36) boot.esp32s3: SPI Mode       : DIO
I (39) boot.esp32s3: SPI Flash Size : 8MB
I (43) boot: Enabling RNG early entropy source...
I (48) boot: Partition Table:
I (50) boot: ## Label            Usage          Type ST Offset   Length
I (57) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (63) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (70) boot:  2 factory          factory app      00 00 00010000 00100000
I (76) boot: End of partition table
I (80) esp_image: segment 0: paddr=00010020 vaddr=3c020020 size=0e8a4h ( 59556) map
I (97) esp_image: segment 1: paddr=0001e8cc vaddr=3fc94e00 size=0174ch (  5964) load
I (99) esp_image: segment 2: paddr=00020020 vaddr=42000020 size=1c920h (117024) map
I (122) esp_image: segment 3: paddr=0003c948 vaddr=3fc9654c size=01634h (  5684) load
I (124) esp_image: segment 4: paddr=0003df84 vaddr=40374000 size=10d20h ( 68896) load
I (141) esp_image: segment 5: paddr=0004ecac vaddr=50000000 size=00020h (    32) load
I (148) boot: Loaded app from partition at offset 0x10000
I (148) boot: Disabling RNG early entropy source...
I (159) cpu_start: Multicore app
I (167) cpu_start: GPIO 44 and 43 are used as console UART I/O pins
I (168) cpu_start: Pro cpu start user code
I (168) cpu_start: cpu freq: 160000000 Hz
I (170) app_init: Application information:
I (174) app_init: Project name:     ESP32_IMU_setup_NEW
I (178) app_init: App version:      1f31e4c-dirty
I (183) app_init: Compile time:     May  4 2026 14:46:09
I (188) app_init: ELF file SHA256:  f766d0f00...
I (192) app_init: ESP-IDF:          -128-NOTFOUND
I (197) efuse_init: Min chip rev:     v0.0
I (201) efuse_init: Max chip rev:     v0.99 
I (205) efuse_init: Chip rev:         v0.2
I (208) heap_init: Initializing. RAM available for dynamic allocation:
I (215) heap_init: At 3FC9E2D0 len 0004B440 (301 KiB): RAM
I (220) heap_init: At 3FCE9710 len 00005724 (21 KiB): RAM
I (225) heap_init: At 3FCF0000 len 00008000 (32 KiB): DRAM
I (230) heap_init: At 600FE000 len 00001FE8 (7 KiB): RTCRAM
I (236) spi_flash: detected chip: gd
I (239) spi_flash: flash io: dio
I (242) sleep_gpio: Configure to isolate all GPIO pins in sleep state
I (248) sleep_gpio: Enable automatic switching of GPIO sleep configuration
I (255) coexist: coex firmware version: 7260f71
I (259) coexist: coexist rom version e7ae62f
I (263) main_task: Started on CPU0
I (286) main_task: Calling app_main()
I (286) MAIN: Starter IMU drift-test
I (3560) main_task: Returned from app_main()
t_us,ax_raw,ay_raw,az_raw,ax_corr,ay_corr,az_corr,acc_mag,acc_dynamic,gx_raw,gy_raw,gz_raw,gx_corr,gy_corr,gz_corr
4284790,12894,-408,-10074,0.085712,-0.005939,9.770658,9.771036,-0.038964,1,-8,-2,0.042725,-0.066895,0.129761
4294354,12894,-393,-10129,0.085712,0.003043,9.737726,9.738104,-0.071897,1,-8,-4,0.042725,-0.066895,0.007690
4303807,12916,-391,-10121,0.098885,0.004240,9.742517,9.743019,-0.066981,-1,-7,-5,-0.079346,-0.005859,-0.053345
4313529,12858,-419,-10115,0.064157,-0.012525,9.746109,9.746328,-0.063672,1,-7,-3,0.042725,-0.005859,0.068726
4323076,12861,-401,-10082,0.065953,-0.001747,9.765868,9.766091,-0.043909,0,-8,-8,-0.018311,-0.066895,-0.236450
4332798,12894,-416,-10105,0.085712,-0.010729,9.752096,9.752479,-0.057522,2,-7,-2,0.103760,-0.005859,0.129761
4342336,12862,-433,-10117,0.066552,-0.020907,9.744911,9.745161,-0.064839,-1,-6,-7,-0.079346,0.055176,-0.175415
4352075,12872,-386,-10080,0.072539,0.007234,9.767065,9.767338,-0.042663,-1,-8,-5,-0.079346,-0.066895,-0.053345
4361779,12860,-379,-10125,0.065354,0.011425,9.740122,9.740348,-0.069653,-1,-7,-6,-0.079346,-0.005859,-0.114380
4371510,12913,-429,-10082,0.097088,-0.018512,9.765868,9.766368,-0.043633,0,-5,-7,-0.018311,0.116211,-0.175415
4381134,12886,-394,-10122,0.080922,0.002444,9.741918,9.742254,-0.067746,1,-9,-7,0.042725,-0.127930,-0.175415
4390692,12895,-378,-10134,0.086310,0.012024,9.734733,9.735123,-0.074878,-1,-7,-3,-0.079346,-0.005859,0.068726
4400318,12886,-397,-10100,0.080922,0.000648,9.755091,9.755426,-0.054574,2,-8,-3,0.103760,-0.066895,0.068726
4409787,12882,-423,-10124,0.078526,-0.014920,9.740721,9.741049,-0.068952,1,-9,-2,0.042725,-0.127930,0.129761
4419325,12919,-429,-10114,0.100681,-0.018512,9.746708,9.747246,-0.062755,4,-7,-4,0.225830,-0.005859,0.007690
4428882,12881,-406,-10107,0.077928,-0.004741,9.750899,9.751212,-0.058788,1,-3,-4,0.042725,0.238281,0.007690
4438333,12907,-398,-10109,0.093495,0.000049,9.749701,9.750150,-0.059851,1,-10,-1,0.042725,-0.188965,0.190796
4447891,12889,-400,-10114,0.082718,-0.001148,9.746708,9.747059,-0.062942,-1,-8,-4,-0.079346,-0.066895,0.007690
4457604,12897,-412,-10085,0.087508,-0.008334,9.764072,9.764468,-0.045532,1,-7,-5,0.042725,-0.005859,-0.053345
4467246,12906,-368,-10133,0.092897,0.018012,9.735332,9.735791,-0.074209,1,-6,-5,0.042725,0.055176,-0.053345
4476698,12889,-364,-10135,0.082718,0.020407,9.734135,9.734508,-0.075493,1,-8,-4,0.042725,-0.066895,0.007690
4486168,12918,-389,-10088,0.100082,0.005438,9.762276,9.762791,-0.047210,-1,-7,-2,-0.079346,-0.005859,0.129761
4495793,12882,-416,-10126,0.078526,-0.010729,9.739523,9.739845,-0.070155,0,-9,-4,-0.018311,-0.127930,0.007690
4505437,12873,-386,-10106,0.073138,0.007234,9.751497,9.751774,-0.058227,-1,-6,-6,-0.079346,0.055176,-0.114380
4515071,12885,-360,-10089,0.080323,0.022802,9.761677,9.762034,-0.047966,2,-8,-5,0.103760,-0.066895,-0.053345
4524619,12902,-404,-10115,0.090502,-0.003543,9.746109,9.746530,-0.063471,2,-9,-5,0.103760,-0.127930,-0.053345
4534244,12864,-377,-10092,0.067749,0.012623,9.759880,9.760123,-0.049877,0,-7,-3,-0.018311,-0.005859,0.068726
4543809,12883,-412,-10081,0.079125,-0.008334,9.766466,9.766790,-0.043210,-1,-8,-4,-0.079346,-0.066895,0.007690
4553513,12895,-381,-10102,0.086310,0.010228,9.753893,9.754280,-0.055720,1,-7,-4,0.042725,-0.005859,0.007690
4562983,12912,-420,-10097,0.096489,-0.013124,9.756886,9.757372,-0.052629,0,-8,-5,-0.018311,-0.066895,-0.053345
4572695,12888,-426,-10077,0.082119,-0.016716,9.768862,9.769221,-0.040779,0,-7,-4,-0.018311,-0.005859,0.007690
4582339,12851,-416,-10097,0.059965,-0.010729,9.756886,9.757076,-0.052924,1,-7,-3,0.042725,-0.005859,0.068726
4591877,12891,-387,-10097,0.083916,0.006635,9.756886,9.757250,-0.052751,1,-4,-6,0.042725,0.177246,-0.114380
4601356,12864,-376,-10075,0.067749,0.013222,9.770060,9.770304,-0.039697,1,-9,-5,0.042725,-0.127930,-0.053345
4610886,12866,-370,-10179,0.068947,0.016814,9.707788,9.708048,-0.101953,0,-8,-3,-0.018311,-0.066895,0.068726
4620443,12861,-405,-10083,0.065953,-0.004142,9.765269,9.765492,-0.044508,-1,-6,-5,-0.079346,0.055176,-0.053345
4630155,12862,-400,-10118,0.066552,-0.001148,9.744312,9.744539,-0.065461,0,-6,-6,-0.018311,0.055176,-0.114380
4639799,12858,-380,-10134,0.064157,0.010827,9.734733,9.734950,-0.075050,-2,-8,-3,-0.140381,-0.066895,0.068726
4649424,12881,-374,-10126,0.077928,0.014419,9.739523,9.739845,-0.070155,0,-5,-4,-0.018311,0.116211,0.007690
4658894,12871,-407,-10100,0.071940,-0.005340,9.755091,9.755358,-0.054643,-1,-9,-3,-0.079346,-0.127930,0.068726
4668606,12866,-421,-10138,0.068947,-0.013722,9.732338,9.732592,-0.077409,2,-6,-6,0.103760,0.055176,-0.114380
4678163,12898,-411,-10053,0.088107,-0.007735,9.783232,9.783631,-0.026369,1,-7,-3,0.042725,-0.005859,0.068726
4687701,12882,-418,-10125,0.078526,-0.011926,9.740122,9.740446,-0.069554,3,-6,-3,0.164795,0.055176,0.068726
4697171,12883,-416,-10130,0.079125,-0.010729,9.737127,9.737454,-0.072546,2,-5,-5,0.103760,0.116211,-0.053345
4706710,12895,-415,-10139,0.086310,-0.010130,9.731739,9.732127,-0.077873,0,-8,-3,-0.018311,-0.066895,0.068726
4716359,12859,-373,-10114,0.064755,0.015018,9.746708,9.746935,-0.063066,-1,-7,-7,-0.079346,-0.005859,-0.175415
