label,file,samples,sampling_frequency_hz,duration_ms,mean_voltage_v,std_noise_mv,peak_to_peak_mv,min_noise_mv,max_noise_mv,dominant_noise_peak_hz,dominant_noise_peak_khz,dominant_noise_peak_db,top_peak_1_khz,top_peak_1_db,top_peak_2_khz,top_peak_2_db,top_peak_3_khz,top_peak_3_db,time_plot,fft_plot
støj_buckboost_new_scope_27,støj_buckboost_new_scope_27.csv,2000,200000000.0,0.009995,3.1518151098395664,8.070334400377055,136.68341562099994,-64.1969842365664,72.48643138443356,,,,97399.99999999999,7.993073781126149,94999.99999999999,7.358444398940762,99899.99999999999,6.447449112559508,st_j_buckboost_new_scope_27_time.png,st_j_buckboost_new_scope_27_fft.png
støj_buckboost_new_scope_28,støj_buckboost_new_scope_28.csv,2000,20000000.0,0.09995,3.1523115922444496,7.958320418823083,136.68341552999985,-64.69346656444941,71.98994896555044,80000.0,80.0,0.2923660795773746,2990.0,6.046569483093189,2520.0,3.228321998603631,5050.0,1.5820827708406904,st_j_buckboost_new_scope_28_time.png,st_j_buckboost_new_scope_28_fft.png
støj_buckboost_new_scope_29,støj_buckboost_new_scope_29.csv,2000,2000000.0,0.9994999999999999,3.152776918880049,8.583415271460591,152.76381739999988,-77.21909458004905,75.54472281995083,201000.0,201.0,-0.2847268196372152,3.0,11.467411977366043,201.0,-0.2847268196372152,643.0,-0.42854364956608515,st_j_buckboost_new_scope_29_time.png,st_j_buckboost_new_scope_29_fft.png
støj_buckboost_new_scope_30,støj_buckboost_new_scope_30.csv,2000,199999.99999999997,9.995000000000001,3.1535839539954997,19.50969662595158,305.52763500000026,-186.56884199549984,118.95879300450041,57800.0,57.8,0.9675298727349166,2.7,18.1756995927148,57.8,0.9675298727349166,65.3,0.6372069692154142,st_j_buckboost_new_scope_30_time.png,st_j_buckboost_new_scope_30_fft.png
støj_esp32_1ms-div,støj_esp32_1ms-div.csv,8192,800000.0000000078,10.2387499999999,-0.0014761139122265923,13.251533084166628,140.4995446451064,-70.1409755703807,70.3585690747257,332910.15625000326,332.91015625000324,10.886561239316654,1.4648437500000144,26.55385148700486,332.91015625000324,10.886561239316654,6.640625000000065,7.00517565142217,st_j_esp32_1ms-div_time.png,st_j_esp32_1ms-div_fft.png
støj_esp32_5ms-div,støj_esp32_5ms-div.csv,8192,160000.00000000032,51.1937499999999,-0.0008083213844269578,7.672957124289363,130.58192972898112,-59.89939169044264,70.68253803853847,40507.81250000008,40.50781250000008,-0.7712038019642414,2.597656250000005,17.37650301408896,13.847656250000027,6.225203978393355,40.50781250000008,-0.7712038019642414,st_j_esp32_5ms-div_time.png,st_j_esp32_5ms-div_fft.png
støj_esp32_ble_1ms-div,støj_esp32_ble_1ms-div.csv,8192,800000.0000000078,10.2387499999999,-0.0009160689097608184,15.924133396998764,153.0618568721981,-71.03160773671728,82.03024913548082,332421.87500000326,332.42187500000324,15.462152823465768,2.6367187500000258,29.33666146974827,332.42187500000324,15.462152823465768,9.667968750000094,9.262583062945254,st_j_esp32_ble_1ms-div_time.png,st_j_esp32_ble_1ms-div_fft.png
støj_esp32_ble_1ms-div10,støj_esp32_ble_1ms-div10.csv,8192,800000.0000000001,10.238750000000001,-0.0003389929909856131,18.169980481207833,154.7600935902719,-71.24039524714209,83.5196983431298,335449.21875000006,335.44921875000006,-2.143471304855125,2.8320312500000004,30.688138836433186,9.960937500000002,11.039705617775661,17.968750000000004,4.723654773699545,st_j_esp32_ble_1ms-div10_time.png,st_j_esp32_ble_1ms-div10_fft.png
støj_esp32_ble_1ms-div8,støj_esp32_ble_1ms-div8.csv,8192,800000.0000000078,10.2387499999999,-0.0010747846465166905,8.830694142235874,145.12776493926071,-60.95527708383661,84.1724878554241,331933.59375000326,331.93359375000324,16.087479554422405,3.2226562500000315,20.594477090306324,331.93359375000324,16.087479554422405,200.29296875000196,14.759427771015579,st_j_esp32_ble_1ms-div8_time.png,st_j_esp32_ble_1ms-div8_fft.png
støj_esp32_blesend-1ms-div2,støj_esp32_blesend-1ms-div2.csv,8192,800000.0000000078,10.2387499999999,-0.0002550963564111569,3.9290486570868763,60.8280381522341,-23.09626720105374,37.73177095118035,336425.78125000326,336.42578125000324,16.191317206277706,336.42578125000324,16.191317206277706,4.003906250000039,10.669624937053776,200.78125000000196,3.387579183709708,st_j_esp32_blesend-1ms-div2_time.png,st_j_esp32_blesend-1ms-div2_fft.png
støj_esp32_blesend-1ms-div3,støj_esp32_blesend-1ms-div3.csv,8192,800000.0000000001,10.238750000000001,-0.00048362603280282845,7.72623231400811,111.0772870606018,-62.53819718916287,48.539089871438925,335839.84375000006,335.83984375000006,15.205000904516828,2.8320312500000004,20.056003805417095,335.83984375000006,15.205000904516828,8.007812500000002,2.4838928332739525,st_j_esp32_blesend-1ms-div3_time.png,st_j_esp32_blesend-1ms-div3_fft.png
støj_esp32_blesend-1ms-div4,støj_esp32_blesend-1ms-div4.csv,8192,2000000.0000000491,4.0954999999999,-0.0002860485481456485,3.4214678784514447,34.71165220643831,-20.420617698352853,14.291034508085449,738281.2500000182,738.2812500000182,16.90487775268279,738.2812500000182,16.90487775268279,1.953125000000048,13.766787345248591,214.84375000000526,4.430754900511455,st_j_esp32_blesend-1ms-div4_time.png,st_j_esp32_blesend-1ms-div4_fft.png
støj_esp32_blesend-1ms-div5,støj_esp32_blesend-1ms-div5.csv,8192,2000000.0000000491,4.0954999999999,-0.0027600043685926346,22.562460155139057,126.94547092640191,-63.567690492081454,63.377780434320435,741699.2187500182,741.6992187500182,11.055712215191228,1.708984375000042,35.394571429505206,7.080078125000174,18.72087507277719,12.451171875000306,12.506627840923734,st_j_esp32_blesend-1ms-div5_time.png,st_j_esp32_blesend-1ms-div5_fft.png
støj_esp32_blesend-1ms-div6,støj_esp32_blesend-1ms-div6.csv,8192,2000000.000000049,4.0954999999999,-0.0004491226117689467,28.36262788169171,145.7889392670397,-68.19268239600075,77.59625687103895,739257.812500018,739.2578125000181,9.415274092181129,2.929687500000072,37.73485887747206,9.765625000000238,18.031963821916122,17.822265625000437,10.57533609644922,st_j_esp32_blesend-1ms-div6_time.png,st_j_esp32_blesend-1ms-div6_fft.png
støj_esp32_new_ble_send_scope_43,støj_esp32_new_ble_send_scope_43.csv,2000,2000000.0,0.9994999999999999,3.1536802875189496,7.035961948204987,104.12060180000005,-48.985527018949426,55.13507478105062,319000.0,319.0,-1.1551465670538663,319.0,-1.1551465670538663,208.0,-1.4510686536770674,736.0,-2.5602779445597355,st_j_esp32_new_ble_send_scope_43_time.png,st_j_esp32_new_ble_send_scope_43_fft.png
støj_esp32_new_ble_send_scope_44,støj_esp32_new_ble_send_scope_44.csv,2000,2000000.0,0.9994999999999999,3.1538859156580004,7.850961123735706,143.1155761999996,-64.06552685800015,79.05004934199944,737000.0,737.0,0.09616248635380628,3.0,7.869914875932167,737.0,0.09616248635380628,275.0,-1.5181699400164392,st_j_esp32_new_ble_send_scope_44_time.png,st_j_esp32_new_ble_send_scope_44_fft.png
støj_esp32_new_ble_send_scope_45,støj_esp32_new_ble_send_scope_45.csv,2000,2000000.0,0.9994999999999999,3.15403023726435,6.595963407971109,141.50753619999978,-67.42592896434996,74.08160723564983,737000.0,737.0,-1.6982170622561674,737.0,-1.6982170622561674,856.0,-3.4090454601600637,297.0,-3.4306442177966905,st_j_esp32_new_ble_send_scope_45_time.png,st_j_esp32_new_ble_send_scope_45_fft.png
støj_esp32_new_ble_send_scope_46,støj_esp32_new_ble_send_scope_46.csv,2000,2000000.0,0.9994999999999999,3.15365697093595,7.414103527855257,127.03517450000001,-68.66070273595027,58.37447176404975,737000.0,737.0,1.7609870026500472,4.0,6.530339111864593,737.0,1.7609870026500472,310.0,-2.0944438451862895,st_j_esp32_new_ble_send_scope_46_time.png,st_j_esp32_new_ble_send_scope_46_fft.png
støj_esp32_new_ble_send_scope_47,støj_esp32_new_ble_send_scope_47.csv,2000,2000000.0,0.9994999999999999,3.1541809910293996,7.81025538110881,127.0351744,-67.57668262939953,59.458491770600475,738000.0,738.0,-0.7321963826692692,3.0,11.978941753156962,738.0,-0.7321963826692692,965.0,-1.381905782067854,st_j_esp32_new_ble_send_scope_47_time.png,st_j_esp32_new_ble_send_scope_47_fft.png
støj_esp32_new_scope_11,støj_esp32_new_scope_11.csv,2000,200000000.0,0.009995,3.1463840150041706,7.642844044203527,140.70351608200005,-52.66532607017061,88.03819001182944,,,,88599.99999999999,7.277401549680827,91699.99999999999,7.275258535796647,1299.9999999999998,6.640390169596586,st_j_esp32_new_scope_11_time.png,st_j_esp32_new_scope_11_fft.png
støj_esp32_new_scope_12,støj_esp32_new_scope_12.csv,2000,20000000.0,0.09995,3.1469206984168347,7.231985304896767,140.70351607999987,-77.32261223683467,63.38090384316519,,,,1260.0,7.422736675087123,8290.0,5.427398697592918,8600.0,3.6901973543983164,st_j_esp32_new_scope_12_time.png,st_j_esp32_new_scope_12_fft.png
støj_esp32_new_scope_13,støj_esp32_new_scope_13.csv,2000,2000000.0,0.9994999999999999,3.14678401499985,7.361766091154081,140.70351609999986,-69.14572789984996,71.5577882001499,742000.0,742.0,6.301979879817442,742.0,6.301979879817442,227.0,-2.1440911132539036,906.0,-2.2002830862249567,st_j_esp32_new_scope_13_time.png,st_j_esp32_new_scope_13_fft.png
støj_esp32_new_scope_14,støj_esp32_new_scope_14.csv,2000,199999.99999999997,9.995000000000001,3.145988035067,8.369266978566236,221.10552500000003,-108.55075206699993,112.5547729330001,57700.0,57.7,-0.34957642070383493,2.0,3.0091404136060182,57.7,-0.34957642070383493,9.5,-0.595771652956152,st_j_esp32_new_scope_14_time.png,st_j_esp32_new_scope_14_fft.png
støj_esp32_new_scope_15,støj_esp32_new_scope_15.csv,2000,20000.0,99.95000000000002,3.1460282354099998,10.945674917939462,160.80402000000004,-72.41004540999984,88.3939745900002,,,,1.5,5.160977063491354,7.86,-1.6183142455209707,,,st_j_esp32_new_scope_15_time.png,st_j_esp32_new_scope_15_fft.png
støj_esp32_new_scope_33,støj_esp32_new_scope_33.csv,2000,2000000.0,0.9994999999999999,3.1522547242752497,6.5363914272522745,107.53768720000024,-43.47085377524973,64.0668334247505,736000.0,736.0,5.13605486232318,736.0,5.13605486232318,237.0,-2.42327277049832,4.0,-2.6601440365519857,st_j_esp32_new_scope_33_time.png,st_j_esp32_new_scope_33_fft.png
støj_esp32_new_scope_34,støj_esp32_new_scope_34.csv,2000,2000000.0,0.9994999999999999,3.1538010915375496,7.431924129997148,119.39698360000017,-60.76462243754976,58.63236116245041,734000.0,734.0,4.326963892637369,734.0,4.326963892637369,6.0,-1.0325663411860466,617.0,-1.233359486299057,st_j_esp32_new_scope_34_time.png,st_j_esp32_new_scope_34_fft.png
støj_esp32_new_scope_35,støj_esp32_new_scope_35.csv,2000,2000000.0,0.9994999999999999,3.15406038801755,7.383982275217582,119.7989935999999,-62.631959117549926,57.16703448244998,736000.0,736.0,1.000292158303558,3.0,5.622532159980452,736.0,1.000292158303558,613.0,-1.641843110163289,st_j_esp32_new_scope_35_time.png,st_j_esp32_new_scope_35_fft.png
støj_esp32_new_scope_36,støj_esp32_new_scope_36.csv,2000,2000000.0,0.9994999999999999,3.1547524483118505,7.226488770037789,115.37688310000016,-58.499898811850585,56.87698428814958,737000.0,737.0,0.1701452115686956,3.0,3.6076907012873343,737.0,0.1701452115686956,16.0,-0.3357213651574299,st_j_esp32_new_scope_36_time.png,st_j_esp32_new_scope_36_fft.png
støj_esp32_new_scope_37,støj_esp32_new_scope_37.csv,2000,2000000.0,0.9994999999999999,3.15356048852565,6.7269283783645175,118.99497349999999,-44.44361762564996,74.55135587435002,736000.0,736.0,1.8537749515113002,736.0,1.8537749515113002,894.0,-1.7896870596483492,419.0,-1.8887302239925403,st_j_esp32_new_scope_37_time.png,st_j_esp32_new_scope_37_fft.png
støj_esp32_new_scope_38,støj_esp32_new_scope_38.csv,2000,2000000.0,0.9994999999999999,3.1543488302240004,6.99158680907362,116.58291330000026,-55.282210424000496,61.30070287599976,736000.0,736.0,3.3916049714688787,736.0,3.3916049714688787,198.0,-2.0455178023890226,471.0,-2.650217447796149,st_j_esp32_new_scope_38_time.png,st_j_esp32_new_scope_38_fft.png
støj_esp32_new_scope_39,støj_esp32_new_scope_39.csv,2000,2000000.0,0.9994999999999999,3.1530555639087496,6.815060332034191,102.91457179999996,-48.76281360874968,54.15175819125029,734000.0,734.0,-1.198238365981634,4.0,-0.5810385435320601,734.0,-1.198238365981634,832.0,-2.800143230313197,st_j_esp32_new_scope_39_time.png,st_j_esp32_new_scope_39_fft.png
støj_esp32_new_scope_48,støj_esp32_new_scope_48.csv,2000,2000000.0,0.9994999999999999,3.1543036040963,6.783964438360705,111.75879270000033,-61.26713499630032,50.491657703700014,736000.0,736.0,0.040028279793013384,736.0,0.040028279793013384,240.0,-1.7519811514083414,4.0,-2.4197996672869775,st_j_esp32_new_scope_48_time.png,st_j_esp32_new_scope_48_fft.png
støj_esp32_new_scope_64,støj_esp32_new_scope_64.csv,2000,2000000.0,0.9994999999999999,3.1542415374123003,6.303461341413453,112.5628127999998,-59.91497421230019,52.64783858769961,741000.0,741.0,3.8238387420106976,3.0,8.056570299826909,741.0,3.8238387420106976,293.0,-1.7110959252902984,st_j_esp32_new_scope_64_time.png,st_j_esp32_new_scope_64_fft.png
støj_esp3v3_1ms-div,støj_esp3v3_1ms-div.csv,8192,800000.0000000078,10.2387499999999,0.0005646299000940081,9.819028001510306,253.56035468893302,-152.514402591794,101.04595209713898,199707.03125000195,199.70703125000196,17.700766881150653,199.70703125000196,17.700766881150653,342.5781250000033,15.454854246821053,3.0273437500000298,11.355558955560072,st_j_esp3v3_1ms-div_time.png,st_j_esp3v3_1ms-div_fft.png
støj_esp3v3_5ms-div,støj_esp3v3_5ms-div.csv,8192,160000.00000000032,51.1937499999999,0.0006467520776424859,11.584907040327971,232.4027762011992,-125.15779016806258,107.2449860331366,39296.87500000008,39.29687500000008,9.007385464855698,1.4257812500000029,20.271301480090948,39.29687500000008,9.007385464855698,23.164062500000046,8.785536114943145,st_j_esp3v3_5ms-div_time.png,st_j_esp3v3_5ms-div_fft.png
