event_id,seq,ts_us,ax,ay,az,gx,gy,gz
1,144,52990,1280,-16324,-1503,13,-26,-4
1,145,52995,1435,-16306,-1335,15,-34,-7
1,146,53000,1669,-16274,-1374,13,-32,-9
1,147,53005,1621,-16229,-1281,14,-21,-5
1,148,53010,1519,-16239,-1435,8,-9,-4
1,149,53015,1618,-16145,-1478,7,2,-3
1,150,53020,1583,-16157,-1271,6,19,4
1,151,53025,1658,-16135,-1313,1,33,5
1,152,53030,1697,-16091,-1193,-3,47,3
1,153,53035,1530,-16114,-1201,-7,63,7
1,154,53040,1438,-16165,-1328,-9,75,9
1,155,53045,1415,-16161,-1393,-11,84,8
1,156,53050,1357,-16197,-1296,-13,90,10
1,157,53055,1282,-16275,-1394,-15,89,9
1,158,53060,1210,-16375,-1416,-15,82,10
1,159,53065,1139,-16409,-1459,-10,69,8
1,160,53070,1134,-16382,-1369,-4,46,6
1,161,53075,1176,-16385,-1287,-2,15,3
1,162,53080,1175,-16384,-1278,0,-13,0
1,163,53085,1291,-16361,-1378,5,-37,-3
1,164,53090,1502,-16282,-1393,9,-52,-5
1,165,53095,1571,-16282,-1485,10,-55,-3
1,166,53100,1516,-16284,-1358,8,-50,-2
1,167,53105,1698,-16275,-1496,2,-38,-6
1,168,53110,1634,-16278,-1487,2,-18,2
1,169,53115,1658,-16261,-1515,-4,2,3
1,170,53120,1735,-16266,-1509,-7,18,5
1,171,53125,1703,-16292,-1356,-10,35,9
1,172,53130,1590,-16321,-1312,-13,49,11
1,173,53135,1614,-16315,-1326,-16,62,11
1,174,53140,1561,-16300,-1433,-17,74,14
1,175,53145,1515,-16301,-1463,-18,77,19
1,176,53150,1428,-16285,-1322,-18,72,17
1,177,53155,1476,-16287,-1347,-20,65,15
1,178,53160,1495,-16204,-1179,-16,56,13
1,179,53165,1401,-16244,-1237,-18,47,15
1,180,53170,1392,-16289,-1358,-17,41,13
1,181,53175,1278,-16285,-1387,-15,39,16
1,182,53180,1178,-16296,-1483,-18,33,14
1,183,53185,1189,-16251,-1438,-15,26,11
1,184,53190,1140,-16259,-1348,-14,20,11
1,185,53195,1142,-16252,-1294,-14,10,8
1,186,53200,1271,-16237,-1258,-13,4,6
1,187,53205,1246,-16258,-1357,-13,8,6
1,188,53210,1166,-16231,-1464,-15,14,6
1,189,53215,1189,-16261,-1505,-17,20,4
1,190,53220,1231,-16271,-1424,-18,29,3
1,191,53225,1233,-16276,-1252,-20,44,5
1,192,53230,1269,-16251,-1427,-21,44,2
1,193,53235,1110,-16244,-1287,-17,45,4
1,194,53240,1098,-16334,-1404,-20,35,3
1,195,53245,1087,-16300,-1310,-18,24,-3
1,196,53250,1105,-16365,-1415,-20,16,-6
1,197,53255,1116,-16402,-1448,-18,3,-7
1,198,53260,1206,-16390,-1457,-15,-11,-11
1,199,53265,1226,-16382,-1432,-11,-25,-12
1,200,53270,1335,-16358,-1391,-8,-36,-14
1,201,53275,1438,-16336,-1390,-8,-43,-15
1,202,53280,1451,-16364,-1433,-8,-44,-14
1,203,53285,1458,-16355,-1479,-7,-42,-15
1,204,53290,1543,-16316,-1546,-10,-31,-15
1,205,53295,1601,-16328,-1514,-11,-23,-12
1,206,53300,1700,-16338,-1399,-11,-14,-13
1,207,53305,1760,-16337,-1217,-11,-5,-12
1,208,53310,1726,-16299,-1284,-14,6,-10
1,209,53315,1542,-16348,-1493,-18,18,-6
1,210,53320,1538,-16295,-1491,-20,24,-4
1,211,53325,1586,-16340,-1448,-21,30,-4
1,212,53330,1620,-16460,-1393,-22,38,-5
1,213,53335,1533,-16458,-1349,-21,46,-2
1,214,53340,1405,-16431,-1430,-21,51,0
